pid	term	grp	duration
373354	201330	Sabbatical	1
373354	201340	Sabbatical	1
373354	201350	Transferred Out	1
373354	201430	Transferred Out	1
373354	201440	Transferred Out	1
373354	201450	Transferred Out	1
373354	201530	Transferred Out	1
373354	201540	Transferred Out	1
373354	201550	Transferred Out	1
373354	201630	Transferred Out	1
373354	201640	Transferred Out	1
373354	201650	Transferred Out	1
373354	201730	Transferred Out	1
373354	201740	Transferred Out	1
373354	201750	Transferred Out	1
373354	201830	Transferred Out	1
373354	201840	Transferred Out	1
373354	201850	Transferred Out	1
373354	201930	Transferred Out	1
373354	201940	Transferred Out	1
373354	201950	Transferred Out	1
373354	202030	Transferred Out	1
373354	202040	Transferred Out	1
373354	202050	Transferred Out	1
373354	202130	Transferred Out	1
373354	202140	Transferred Out	1
379983	start	Starting Cohort	1
379983	201150	Freshman	1
379983	201230	Freshman	1
379983	201240	Freshman	1
379983	201250	Freshman	1
379983	201330	Sophomore	1
379983	201340	Sophomore	1
379983	201350	Sophomore	1
379983	201430	Sophomore	1
379983	201440	Sophomore	1
379983	201450	Sophomore	1
379983	201530	Transferred Out	1
379983	201540	Transferred Out	1
379983	201550	Transferred Out	1
379983	201630	Transferred Out	1
379983	201640	Transferred Out	1
379983	201650	Sophomore	1
379983	201730	Sophomore	1
379983	201740	Sophomore	1
379983	201750	Junior	1
379983	201830	Junior	1
379983	201840	Junior	1
379983	201850	Junior	1
379983	201930	Junior	1
379983	201940	Junior	1
379983	201950	Senior	1
379983	202030	Senior	1
379983	202040	Senior	1
379983	202050	Senior	1
379983	202130	Sabbatical	1
379983	202140	Sabbatical	1
398271	start	Starting Cohort	1
398271	201150	Dropped Out	1
398271	201230	Dropped Out	1
398271	201240	Dropped Out	1
398271	201250	Dropped Out	1
398271	201330	Dropped Out	1
398271	201340	Dropped Out	1
398271	201350	Dropped Out	1
398271	201430	Dropped Out	1
398271	201440	Dropped Out	1
398271	201450	Dropped Out	1
398271	201530	Dropped Out	1
398271	201540	Dropped Out	1
398271	201550	Dropped Out	1
398271	201630	Dropped Out	1
398271	201640	Dropped Out	1
398271	201650	Dropped Out	1
398271	201730	Dropped Out	1
398271	201740	Dropped Out	1
398271	201750	Dropped Out	1
398271	201830	Dropped Out	1
398271	201840	Dropped Out	1
398271	201850	Dropped Out	1
398271	201930	Dropped Out	1
398271	201940	Dropped Out	1
398271	201950	Dropped Out	1
398271	202030	Dropped Out	1
398271	202040	Dropped Out	1
398271	202050	Dropped Out	1
398271	202130	Dropped Out	1
398271	202140	Dropped Out	1
403815	start	Starting Cohort	1
403815	201150	Freshman	1
403815	201230	Freshman	1
403815	201240	Sabbatical	1
403815	201250	Sabbatical	1
403815	201330	Sabbatical	1
403815	201340	Sabbatical	1
403815	201350	Sabbatical	1
403815	201430	Sabbatical	1
403815	201440	Sabbatical	1
403815	201450	Sabbatical	1
403815	201530	Sabbatical	1
403815	201540	Sabbatical	1
403815	201550	Sabbatical	1
403815	201630	Sabbatical	1
403815	201640	Sabbatical	1
403815	201650	Sabbatical	1
403815	201730	Sabbatical	1
403815	201740	Sabbatical	1
403815	201750	Sabbatical	1
403815	201830	Sabbatical	1
403815	201840	Sabbatical	1
403815	201850	Sabbatical	1
403815	201930	Sabbatical	1
403815	201940	Sabbatical	1
403815	201950	Sabbatical	1
403815	202030	Sabbatical	1
403815	202040	Sabbatical	1
403815	202050	Transferred Out	1
403815	202130	Transferred Out	1
403815	202140	Transferred Out	1
404408	start	Starting Cohort	1
404408	201150	Freshman	1
404408	201230	Freshman	1
404408	201240	Freshman	1
404408	201250	Sophomore	1
404408	201330	Sophomore	1
404408	201340	Sophomore	1
404408	201350	Junior	1
404408	201430	Junior	1
404408	201440	Junior	1
404408	201450	Junior	1
404408	201530	Senior	1
404408	201540	Senior	1
404408	201550	Dropped Out	1
404408	201630	Dropped Out	1
404408	201640	Dropped Out	1
404408	201650	Dropped Out	1
404408	201730	Dropped Out	1
404408	201740	Dropped Out	1
404408	201750	Dropped Out	1
404408	201830	Dropped Out	1
404408	201840	Dropped Out	1
404408	201850	Dropped Out	1
404408	201930	Dropped Out	1
404408	201940	Dropped Out	1
404408	201950	Dropped Out	1
404408	202030	Dropped Out	1
404408	202040	Dropped Out	1
404408	202050	Dropped Out	1
404408	202130	Dropped Out	1
404408	202140	Dropped Out	1
409852	start	Starting Cohort	1
409852	201150	Freshman	1
409852	201230	Freshman	1
409852	201240	Freshman	1
409852	201250	Sophomore	1
409852	201330	Sophomore	1
409852	201340	Sophomore	1
409852	201350	Junior	1
409852	201430	Junior	1
409852	201440	Senior	1
409852	201450	Senior	1
409852	201530	Graduated	1
409852	201540	Graduated	1
409852	201550	Graduated	1
409852	201630	Graduated	1
409852	201640	Graduated	1
409852	201650	Graduated	1
409852	201730	Graduated	1
409852	201740	Graduated	1
409852	201750	Graduated	1
409852	201830	Graduated	1
409852	201840	Graduated	1
409852	201850	Graduated	1
409852	201930	Graduated	1
409852	201940	Graduated	1
409852	201950	Graduated	1
409852	202030	Graduated	1
409852	202040	Graduated	1
409852	202050	Graduated	1
409852	202130	Graduated	1
409852	202140	Graduated	1
439544	start	Starting Cohort	1
439544	201150	Freshman	1
439544	201230	Dropped Out	1
439544	201240	Dropped Out	1
439544	201250	Dropped Out	1
439544	201330	Dropped Out	1
439544	201340	Dropped Out	1
439544	201350	Dropped Out	1
439544	201430	Dropped Out	1
439544	201440	Dropped Out	1
439544	201450	Dropped Out	1
439544	201530	Dropped Out	1
439544	201540	Dropped Out	1
439544	201550	Dropped Out	1
439544	201630	Dropped Out	1
439544	201640	Dropped Out	1
439544	201650	Dropped Out	1
439544	201730	Dropped Out	1
439544	201740	Dropped Out	1
439544	201750	Dropped Out	1
439544	201830	Dropped Out	1
439544	201840	Dropped Out	1
