pid	term	grp	duration
203554	201530	Senior	1
203554	201540	Senior	1
203554	201550	Senior	1
203554	201630	Senior	1
203554	201640	Senior	1
203554	201650	Senior	1
203554	201730	Senior	1
203554	201740	Senior	1
203554	201750	Senior	1
203554	201830	Senior	1
203554	201840	Senior	1
203554	201850	Sabbatical	1
203554	201930	Senior	1
203554	201940	Senior	1
203554	201950	Senior	1
203554	202030	Dropped Out	1
203554	202040	Dropped Out	1
203554	202050	Dropped Out	1
203554	202130	Dropped Out	1
203554	202140	Dropped Out	1
204155	start	Starting Cohort	1
204155	201150	Freshman	1
204155	201230	Freshman	1
204155	201240	Freshman	1
204155	201250	Freshman	1
204155	201330	Sophomore	1
204155	201340	Sophomore	1
204155	201350	Sophomore	1
204155	201430	Sophomore	1
204155	201440	Sophomore	1
204155	201450	Sophomore	1
204155	201530	Junior	1
204155	201540	Junior	1
204155	201550	Junior	1
204155	201630	Junior	1
204155	201640	Junior	1
204155	201650	Junior	1
204155	201730	Junior	1
204155	201740	Junior	1
204155	201750	Senior	1
204155	201830	Senior	1
204155	201840	Senior	1
204155	201850	Senior	1
204155	201930	Senior	1
204155	201940	Senior	1
204155	201950	Graduated	1
204155	202030	Graduated	1
204155	202040	Graduated	1
204155	202050	Graduated	1
204155	202130	Graduated	1
204155	202140	Graduated	1
220886	start	Starting Cohort	1
220886	201150	Freshman	1
220886	201230	Sophomore	1
220886	201240	Sabbatical	1
220886	201250	Sabbatical	1
220886	201330	Sophomore	1
220886	201340	Sabbatical	1
220886	201350	Sabbatical	1
220886	201430	Sabbatical	1
220886	201440	Sabbatical	1
220886	201450	Sabbatical	1
220886	201530	Sabbatical	1
220886	201540	Sabbatical	1
220886	201550	Sabbatical	1
220886	201630	Sabbatical	1
220886	201640	Sabbatical	1
220886	201650	Sabbatical	1
220886	201730	Sabbatical	1
220886	201740	Sabbatical	1
220886	201750	Transferred Out	1
220886	201830	Transferred Out	1
220886	201840	Transferred Out	1
220886	201850	Transferred Out	1
220886	201930	Transferred Out	1
220886	201940	Transferred Out	1
220886	201950	Transferred Out	1
220886	202030	Transferred Out	1
220886	202040	Transferred Out	1
220886	202050	Transferred Out	1
220886	202130	Transferred Out	1
220886	202140	Transferred Out	1
249892	start	Starting Cohort	1
249892	201150	Sophomore	1
249892	201230	Dropped Out	1
249892	201240	Dropped Out	1
249892	201250	Dropped Out	1
249892	201330	Dropped Out	1
249892	201340	Dropped Out	1
249892	201350	Dropped Out	1
249892	201430	Dropped Out	1
249892	201440	Dropped Out	1
249892	201450	Dropped Out	1
249892	201530	Dropped Out	1
249892	201540	Dropped Out	1
249892	201550	Dropped Out	1
249892	201630	Dropped Out	1
249892	201640	Dropped Out	1
249892	201650	Dropped Out	1
249892	201730	Dropped Out	1
249892	201740	Dropped Out	1
249892	201750	Dropped Out	1
249892	201830	Dropped Out	1
249892	201840	Dropped Out	1
249892	201850	Dropped Out	1
249892	201930	Dropped Out	1
249892	201940	Dropped Out	1
249892	201950	Dropped Out	1
249892	202030	Dropped Out	1
249892	202040	Dropped Out	1
249892	202050	Dropped Out	1
249892	202130	Dropped Out	1
249892	202140	Dropped Out	1
252703	start	Starting Cohort	1
252703	201150	Junior	1
252703	201230	Junior	1
252703	201240	Senior	1
252703	201250	Senior	1
252703	201330	Senior	1
252703	201340	Senior	1
252703	201350	Graduated	1
252703	201430	Graduated	1
252703	201440	Graduated	1
252703	201450	Graduated	1
252703	201530	Graduated	1
252703	201540	Graduated	1
252703	201550	Graduated	1
252703	201630	Graduated	1
252703	201640	Graduated	1
252703	201650	Graduated	1
252703	201730	Graduated	1
252703	201740	Graduated	1
252703	201750	Graduated	1
252703	201830	Graduated	1
252703	201840	Graduated	1
252703	201850	Graduated	1
252703	201930	Graduated	1
252703	201940	Graduated	1
252703	201950	Graduated	1
252703	202030	Graduated	1
252703	202040	Graduated	1
252703	202050	Graduated	1
252703	202130	Graduated	1
252703	202140	Graduated	1
255889	start	Starting Cohort	1
255889	201150	Freshman	1
255889	201230	Junior	1
255889	201240	Junior	1
255889	201250	Junior	1
255889	201330	Junior	1
255889	201340	Sabbatical	1
255889	201350	Sabbatical	1
255889	201430	Junior	1
255889	201440	Junior	1
255889	201450	Junior	1
255889	201530	Sabbatical	1
255889	201540	Sabbatical	1
255889	201550	Sabbatical	1
255889	201630	Sabbatical	1
255889	201640	Sabbatical	1
255889	201650	Sabbatical	1
255889	201730	Sabbatical	1
255889	201740	Sabbatical	1
255889	201750	Junior	1
255889	201830	Junior	1
255889	201840	Sabbatical	1
255889	201850	Sabbatical	1
255889	201930	Sabbatical	1
255889	201940	Sabbatical	1
255889	201950	Sabbatical	1
255889	202030	Sabbatical	1
255889	202040	Sabbatical	1
255889	202050	Sabbatical	1
255889	202130	Sabbatical	1
255889	202140	Junior	1
260680	start	Starting Cohort	1
260680	201150	Freshman	1
260680	201230	Sophomore	1
260680	201240	Sophomore	1
260680	201250	Transferred Out	1
260680	201330	Junior	1
260680	201340	Junior	1
260680	201350	Dropped Out	1
260680	201430	Dropped Out	1
260680	201440	Dropped Out	1
260680	201450	Dropped Out	1
260680	201530	Dropped Out	1
260680	201540	Dropped Out	1
260680	201550	Dropped Out	1
260680	201630	Dropped Out	1
260680	201640	Dropped Out	1
260680	201650	Dropped Out	1
260680	201730	Dropped Out	1
260680	201740	Dropped Out	1
260680	201750	Dropped Out	1
260680	201830	Dropped Out	1
260680	201840	Dropped Out	1
260680	201850	Dropped Out	1
260680	201930	Dropped Out	1
260680	201940	Dropped Out	1
260680	201950	Dropped Out	1
260680	202030	Dropped Out	1
260680	202040	Dropped Out	1
260680	202050	Dropped Out	1
260680	202130	Dropped Out	1
260680	202140	Dropped Out	1
300520	start	Starting Cohort	1
300520	201150	Freshman	1
300520	201230	Sophomore	1
300520	201240	Sophomore	1
300520	201250	Sophomore	1
300520	201330	Sabbatical	1
300520	201340	Sabbatical	1
300520	201350	Transferred Out	1
300520	201430	Transferred Out	1
300520	201440	Transferred Out	1
300520	201450	Transferred Out	1
300520	201530	Transferred Out	1
300520	201540	Transferred Out	1
300520	201550	Transferred Out	1
300520	201630	Transferred Out	1
300520	201640	Transferred Out	1
300520	201650	Transferred Out	1
300520	201730	Transferred Out	1
300520	201740	Transferred Out	1
300520	201750	Transferred Out	1
300520	201830	Transferred Out	1
300520	201840	Transferred Out	1
300520	201850	Transferred Out	1
300520	201930	Transferred Out	1
300520	201940	Transferred Out	1
300520	201950	Transferred Out	1
300520	202030	Transferred Out	1
300520	202040	Transferred Out	1
300520	202050	Transferred Out	1
300520	202130	Transferred Out	1
300520	202140	Transferred Out	1
300888	start	Starting Cohort	1
300888	201150	Freshman	1
300888	201230	Transferred Out	1
300888	201240	Transferred Out	1
300888	201250	Transferred Out	1
300888	201330	Transferred Out	1
300888	201340	Transferred Out	1
300888	201350	Transferred Out	1
300888	201430	Transferred Out	1
300888	201440	Transferred Out	1
300888	201450	Transferred Out	1
300888	201530	Transferred Out	1
300888	201540	Transferred Out	1
300888	201550	Transferred Out	1
300888	201630	Transferred Out	1
300888	201640	Transferred Out	1
300888	201650	Transferred Out	1
300888	201730	Transferred Out	1
300888	201740	Transferred Out	1
300888	201750	Transferred Out	1
300888	201830	Transferred Out	1
300888	201840	Transferred Out	1
300888	201850	Transferred Out	1
300888	201930	Transferred Out	1
300888	201940	Transferred Out	1
300888	201950	Transferred Out	1
300888	202030	Transferred Out	1
300888	202040	Transferred Out	1
300888	202050	Transferred Out	1
300888	202130	Transferred Out	1
300888	202140	Transferred Out	1
306977	start	Starting Cohort	1
306977	201150	Freshman	1
306977	201230	Junior	1
306977	201240	Junior	1
306977	201250	Junior	1
306977	201330	Senior	1
306977	201340	Senior	1
306977	201350	Senior	1
306977	201430	Senior	1
306977	201440	Senior	1
306977	201450	Graduated	1
306977	201530	Graduated	1
306977	201540	Graduated	1
306977	201550	Graduated	1
306977	201630	Graduated	1
306977	201640	Graduated	1
306977	201650	Graduated	1
306977	201730	Graduated	1
306977	201740	Graduated	1
306977	201750	Graduated	1
306977	201830	Graduated	1
306977	201840	Graduated	1
306977	201850	Graduated	1
306977	201930	Graduated	1
306977	201940	Graduated	1
306977	201950	Graduated	1
306977	202030	Graduated	1
306977	202040	Graduated	1
306977	202050	Graduated	1
306977	202130	Graduated	1
306977	202140	Graduated	1
307624	start	Starting Cohort	1
307624	201150	Freshman	1
307624	201230	Freshman	1
307624	201240	Freshman	1
307624	201250	Freshman	1
307624	201330	Sophomore	1
307624	201340	Sophomore	1
307624	201350	Sophomore	1
307624	201430	Sophomore	1
307624	201440	Junior	1
307624	201450	Junior	1
307624	201530	Junior	1
307624	201540	Junior	1
307624	201550	Senior	1
307624	201630	Senior	1
307624	201640	Senior	1
307624	201650	Senior	1
