pid,START,Fall 2011,Spring 2012,Summer 2012,Fall 2012,Spring 2013,Summer 2013,Fall 2013,Spring 2014,Summer 2014,Fall 2014,Spring 2015,Summer 2015,Fall 2015,Spring 2016,Summer 2016,Fall 2016,Spring 2017,Summer 2017,Fall 2017,Spring 2018,Summer 2018,Fall 2018,Spring 2019,Summer 2019,Fall 2019,Spring 2020,Summer 2020,Fall 2020,Spring 2021,Summer 2021
879837,START,FR,FR,FR,SO,SO,SO,SO,SO,SO,JU,JU,JU,SR,SR,SR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR
879840,START,FR,SA,SA,FR,FR,SA,SA,SA,SA,SA,SO,SO,SA,SO,SO,SO,JU,JU,JU,JU,SR,SR,GR,GR,GR,GR,GR,GR,GR,GR
879842,START,FR,FR,FR,FR,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO
879859,START,FR,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO
879976,START,FR,FR,FR,FR,SA,SA,FR,SA,SA,TO,TO,TO,TO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO
880128,START,SO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
880178,START,FR,FR,FR,SO,SO,SA,SA,SO,SO,JU,JU,JU,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO
880199,START,FR,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO
880235,START,FR,SA,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
880244,START,FR,FR,FR,SO,SO,SO,JU,JU,SR,SR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR
880262,START,FR,FR,FR,SO,SO,SO,SO,SA,SA,SO,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,TO,TO,TO,TO,TO,TO,TO,TO,TO
880264,START,FR,FR,SO,SO,JU,JU,JU,JU,JU,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO
880267,START,FR,FR,FR,FR,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
880269,START,FR,FR,FR,SO,SO,SO,SO,SO,JU,SA,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,JU,DO,DO,DO,DO,DO,DO,DO,DO
880270,START,FR,FR,FR,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO
880273,START,FR,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO
880278,START,FR,FR,FR,SO,SO,SO,SO,JU,JU,SR,SR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR
880285,START,FR,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
880289,START,FR,FR,FR,SO,SO,SO,JU,JU,JU,SR,SR,SR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR
880290,START,FR,FR,FR,SO,SO,SO,SO,SA,SA,SA,SA,SA,SA,SA,SA,SA,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
880296,START,FR,FR,TO,SO,SO,SO,JU,JU,SR,SR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR
880299,START,FR,FR,FR,SO,SO,SO,JU,JU,JU,SR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR
880301,START,FR,SO,SO,SO,JU,JU,JU,SR,SR,SR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR
880302,START,FR,FR,FR,SO,SO,JU,JU,JU,SR,TO,SR,SR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR
880310,START,FR,FR,FR,FR,FR,SA,SA,FR,SA,SA,SO,SO,SO,SO,SO,SO,JU,JU,SR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR
880317,START,FR,FR,FR,SO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO
880323,START,FR,FR,SA,SA,SA,SA,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
880327,START,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO
880328,START,FR,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO
880343,START,FR,FR,FR,SO,SO,SO,SO,TO,TO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO
880345,START,FR,SO,SO,SO,SO,SO,JU,JU,JU,SR,SR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR
880358,START,FR,SO,SO,SO,JU,JU,SR,SR,SR,SR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR
880359,START,FR,FR,FR,FR,FR,FR,SO,SA,SA,SO,SO,SO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
880368,START,FR,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO
880370,START,FR,FR,SA,SA,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
880375,START,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO
880380,START,FR,SA,SA,SA,FR,SA,SA,SA,SA,SA,FR,FR,FR,SO,SO,SO,SO,SO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO
880386,START,FR,FR,TO,FR,SO,SA,SA,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO
880601,START,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO
880641,START,FR,FR,FR,SO,SO,SO,SO,SA,SO,JU,JU,JU,SR,SR,SR,SR,SR,SR,SR,SR,SR,SR,SR,GR,GR,GR,GR,GR,GR,GR
880653,START,FR,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO
880659,START,FR,FR,FR,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
880672,START,FR,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO
880675,START,FR,FR,FR,FR,FR,SA,SA,SA,SA,SA,SA,SA,SA,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO
880688,START,FR,FR,SA,SA,SA,SA,SA,SA,SA,SA,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
880694,START,FR,FR,FR,SO,SO,SO,SO,JU,JU,JU,JU,JU,JU,SR,SR,SR,SR,SR,SR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR
880701,START,FR,SO,SO,SO,JU,JU,JU,SR,SR,SR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR
880702,START,FR,FR,FR,FR,SA,SA,SA,SO,SO,SO,JU,JU,JU,SR,SR,SR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR
880711,START,FR,FR,FR,SA,SA,SA,FR,SO,SO,SO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO
880719,START,FR,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO
880734,START,FR,FR,FR,SO,SO,SO,SO,JU,JU,JU,JU,SR,SR,SR,SR,SR,SR,SR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR
880751,START,FR,SO,SO,SO,JU,JU,JU,JU,SA,SA,SA,SA,JU,JU,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,TO,TO
880764,START,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO
880769,START,FR,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO
880800,START,FR,FR,FR,FR,SA,SA,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
880804,START,FR,FR,FR,FR,SO,SO,SO,JU,JU,JU,JU,JU,SR,SR,SR,SR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR
880813,START,FR,FR,FR,SO,SO,SO,JU,JU,JU,SR,SR,SR,SR,SR,SA,SA,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR
880825,START,FR,FR,FR,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO
880829,START,FR,FR,FR,SO,SO,SO,SO,JU,JU,JU,SR,SR,SR,SR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR
880831,START,FR,FR,FR,SO,SO,SO,SO,SO,SO,JU,JU,JU,JU,SR,SR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR
880832,START,FR,SO,SO,SO,JU,JU,JU,JU,JU,SR,SR,SR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR
880834,START,FR,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO
880843,START,FR,FR,FR,SO,SO,SO,JU,JU,SA,SA,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO
880856,START,FR,SA,SA,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
880944,START,FR,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO
880960,START,FR,FR,FR,FR,SO,SO,SO,SO,SO,JU,SA,SA,SA,SA,SA,SA,JU,JU,JU,JU,JU,JU,JU,JU,DO,DO,DO,DO,DO,DO
880964,START,FR,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,FR,FR,FR,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO
880966,START,FR,FR,SA,SA,SA,SA,SA,SA,SA,TO,TO,TO,TO,TO,TO,TO,TO,TO,FR,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO
880985,START,FR,FR,FR,FR,SO,SO,SO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO
880992,START,FR,FR,FR,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
881000,START,FR,FR,FR,SO,SO,SO,JU,JU,SR,SR,SR,SR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR
881003,START,FR,FR,FR,FR,FR,FR,FR,SA,SA,SA,SA,SA,SA,SA,SA,SA,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO
881006,START,FR,FR,FR,SO,SO,SO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
881010,START,FR,FR,FR,FR,SA,SA,SO,SO,SO,SO,JU,JU,JU,JU,JU,JU,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO
881019,START,FR,FR,FR,FR,FR,SA,SA,SA,SA,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
881020,START,FR,SO,SO,SO,JU,JU,JU,JU,JU,SR,SR,SR,SR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR
881023,START,FR,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO
881030,START,FR,FR,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
881036,START,FR,FR,FR,FR,FR,FR,SO,SA,SA,SA,TO,TO,SO,JU,SA,SA,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO
881038,START,FR,FR,SA,SA,SA,SA,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
881039,START,FR,SO,SO,SO,JU,JU,JU,SR,SR,SR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR
881046,START,FR,FR,FR,SO,SO,SO,JU,JU,JU,SR,SR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR
881057,START,FR,SO,SO,SO,JU,JU,SR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR
881059,START,FR,FR,FR,SO,SO,SO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
881078,START,FR,FR,FR,TO,TO,SO,SO,SO,JU,JU,SR,SR,SR,SR,SR,SR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR
881100,START,FR,FR,FR,SO,SO,SO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO
881108,START,FR,FR,FR,SO,SO,SO,JU,JU,JU,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
881143,START,FR,FR,FR,TO,FR,FR,FR,SO,SO,SO,SO,SO,SO,JU,JU,SR,SR,SR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR
881149,START,FR,FR,FR,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
881156,START,FR,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO
881168,START,FR,FR,FR,SO,SO,SO,JU,JU,JU,SR,SR,SR,SR,SR,SA,SA,SA,SA,SR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR
881175,START,FR,FR,FR,FR,FR,FR,FR,FR,FR,SO,SO,SO,JU,JU,JU,SR,SR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR
881185,START,FR,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
881192,START,FR,FR,FR,SO,SO,SO,SO,SO,SO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
881206,START,FR,FR,FR,SO,SO,SO,SO,SO,SA,SA,JU,JU,JU,SR,SA,SA,SA,SA,SA,SA,SA,SR,SA,SA,SA,SA,SA,SA,TO,TO
881210,START,FR,FR,FR,FR,SO,SO,SO,SA,SA,SO,SA,JU,SA,SA,SA,SA,SA,JU,JU,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO
881238,START,FR,FR,FR,SO,SO,SO,SO,JU,JU,JU,SR,SR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR
881255,START,FR,FR,FR,SO,SO,SO,SO,JU,JU,JU,JU,SR,SR,SR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR
881272,START,FR,FR,SA,SA,FR,FR,FR,SO,SO,SO,SO,SO,SO,JU,JU,JU,JU,JU,SR,SR,SR,SR,SR,SR,GR,GR,GR,GR,GR,GR
881276,START,FR,FR,FR,FR,FR,FR,SO,SO,SO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
881310,START,FR,FR,FR,FR,TO,TO,TO,TO,TO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO
881315,START,FR,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO
881328,START,FR,SO,SO,SO,SO,SO,JU,SR,SR,SR,SR,SR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR
881335,START,FR,FR,FR,SO,SO,SO,JU,JU,JU,JU,SR,SR,SR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR
881352,START,FR,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO
881363,START,FR,SA,SA,TO,TO,TO,TO,TO,TO,TO,TO,TO,FR,FR,FR,SO,SO,SO,SO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO
881371,START,FR,FR,FR,SO,TO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO
881382,START,FR,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO
881393,START,FR,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO
881406,START,FR,FR,FR,FR,SO,SO,SO,SO,SO,SO,SA,SA,SA,SA,SO,SA,TO,TO,TO,TO,TO,TO,TO,TO,TO,JU,JU,JU,JU,SR
881413,START,FR,SO,SO,SO,SO,JU,JU,SR,SR,SR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR
881427,START,FR,FR,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
881431,START,FR,FR,SA,SA,FR,FR,FR,SO,SO,SO,JU,JU,JU,JU,JU,SR,SR,SR,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO
881439,START,FR,SO,SO,SO,SO,SO,JU,JU,SR,SR,SR,SR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR
881441,START,FR,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO
881445,START,FR,SO,SO,SO,SO,SO,JU,JU,JU,SR,SR,SR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR
881454,START,FR,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
881461,START,FR,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO
881462,START,FR,FR,FR,FR,SO,SO,SO,JU,JU,JU,SR,SR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR
881472,START,FR,FR,FR,TO,TO,TO,TO,TO,TO,SO,SO,SO,JU,JU,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR
881482,START,FR,FR,FR,SO,SO,SO,JU,JU,JU,SR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR
881484,START,FR,FR,FR,FR,FR,FR,SO,SO,SO,SO,JU,JU,JU,SR,SR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR
881487,START,FR,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,TO,TO,TO,TO,TO,TO,TO,TO,TO
881495,START,FR,FR,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
881502,START,FR,FR,FR,FR,FR,FR,SO,SO,SO,JU,JU,JU,JU,SR,SR,SR,SR,SR,SR,SR,SR,DO,DO,DO,DO,DO,DO,DO,DO,DO
881525,START,FR,FR,FR,SO,SO,SO,SO,SO,SO,SO,JU,JU,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO
881528,START,FR,FR,FR,FR,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
881531,START,FR,FR,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,FR,SO,SO,SO,SO,SO,JU,JU,JU,JU,SR,SR,GR,GR,GR
881535,START,FR,FR,FR,SA,SO,SO,SO,SO,SO,JU,SA,JU,JU,SA,SA,SA,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
881536,START,FR,FR,SA,SA,SA,SA,SA,SA,SA,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO
881544,START,FR,FR,FR,FR,FR,FR,SO,SO,SO,SO,JU,JU,JU,JU,JU,JU,SA,SA,SA,SA,SA,JU,DO,DO,DO,DO,DO,DO,DO,DO
881557,START,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO
881563,START,FR,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO
881564,START,FR,FR,FR,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO
881568,START,FR,FR,FR,SO,SO,SO,JU,JU,JU,TO,SR,SR,SR,SR,SR,SR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR
881594,START,FR,FR,FR,FR,FR,FR,SO,SO,SO,SO,SO,SO,JU,JU,JU,JU,JU,JU,SR,SR,SR,SR,SR,SR,SR,GR,GR,GR,GR,GR
881596,START,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO
881609,START,FR,FR,FR,SO,SO,SO,SO,JU,JU,JU,SR,SR,SR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR
881610,START,FR,FR,FR,FR,SA,SA,FR,FR,FR,FR,SA,SA,SA,SA,SO,SO,SO,SO,JU,JU,JU,JU,DO,DO,DO,DO,DO,DO,DO,DO
881611,START,FR,FR,FR,SO,SO,SO,JU,JU,JU,JU,SR,SR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR
881612,START,FR,FR,FR,SO,SO,SO,JU,JU,JU,JU,JU,JU,SR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR
881623,START,FR,FR,FR,SO,SO,SO,SO,JU,JU,JU,SR,SR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR
881636,START,FR,FR,FR,SO,SO,SO,SO,SA,SA,JU,JU,JU,SR,SR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR
881664,START,FR,FR,FR,SO,SO,SO,JU,JU,JU,SR,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO
881666,START,FR,FR,FR,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO
